lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
4350.083094837524,0.6037295245446181,4349.647828934777,4350.518404296994,1.0
4574.060064474974,0.1813524814138361,4573.602387612307,4574.517787137011,1.0
4603.210074932586,0.7676167556764812,4602.749481342736,4603.670714613682,1.0
4646.4066590632865,0.2945710122717572,4645.941743257106,4646.871621393233,1.0
4673.55391324564,0.4961738900419944,4673.086281106497,4674.021592180369,1.0
4706.181551520936,0.6246882358736809,4705.710654685898,4706.652495478258,1.0
4832.441952209865,0.6201981159194341,4831.958421858158,4832.925530948081,1.0
4932.090586585306,0.16545880678739872,4931.597085469396,4932.5841370854905,1.0
4937.122246967271,0.5270786245604092,4936.62824238737,4937.616300981829,1.0
4937.6271949530155,0.4776564872243216,4937.133139848415,4938.121299497329,1.0
4971.217459590916,0.655614342553548,4970.720043470781,4971.714925487099,1.0
5012.247458360242,0.4631689509031485,5011.745936810608,5012.749030096749,1.0
5034.041270932582,0.20452097477880726,5033.5375687111555,5034.545023559101,1.0
5143.083759362424,0.7620097058844406,5142.569146435126,5143.5984237866405,1.0
5148.821457165675,0.4946531457717638,5148.306270128835,5149.336695756885,1.0
5156.470869773626,0.4326659357118743,5155.954917342559,5156.986873835654,1.0
5218.7531119754185,0.7413251569950471,5218.230927632045,5219.2753485733765,1.0
5234.308789063579,0.735964092986788,5233.785048231356,5234.832582306143,1.0
5235.9908077005375,0.5761841699469217,5235.466898566849,5236.514769261409,1.0
5243.861068690676,0.7278114395208996,5243.336372064845,5244.385817822493,1.0
5286.503690583751,0.2655529099591261,5285.974727170618,5287.0327069298455,1.0
5293.960743051208,0.29588906768751994,5293.431033491253,5294.490505618789,1.0
5322.493629866952,0.3832121973051348,5321.96106532872,5323.026247698505,1.0
5338.177460388223,0.5718862041378805,5337.64332653821,5338.7116476885985,1.0
5380.976780369568,0.5461006182181706,5380.438364053165,5381.515250564876,1.0
5384.775542953698,0.7246788074966644,5384.23674653609,5385.314393288248,1.0
5446.463802322293,0.6947939184698206,5445.918833425834,5447.008825753369,1.0
5523.882306518852,0.3979307135500855,5523.329591187581,5524.435077159918,1.0
5528.249729651726,0.5394353089568287,5527.6965773195225,5528.802937337457,1.0
5529.849659346202,0.8233970344052396,5529.296346926289,5530.403027135663,1.0
5539.239375601663,0.774690857971609,5538.685123654104,5539.793683012786,1.0
5545.3782882631285,0.5095832712708526,5544.823422060784,5545.933209990506,1.0
5564.154252610813,0.4693896742281396,5563.597507700202,5564.711053234459,1.0
5577.542552349065,0.7146472290387289,5576.984467815682,5578.100692729537,1.0
5580.171171959922,0.5000355291925426,5579.612824408922,5580.72957538433,1.0
5588.212538134089,0.6738679506190487,5587.653385970297,5588.771746251807,1.0
5595.190951274016,0.28994592005108905,5594.631100855678,5595.750857716153,1.0
5609.121652922318,0.14883551958330746,5608.5604086089,5609.682953399023,1.0
5620.093437384463,0.43852347247910695,5619.531095242895,5620.655835799174,1.0
5635.4107264111035,0.491397550088893,5634.84685163361,5635.974657615112,1.0
5652.152924406935,0.2873207207077001,5651.58737441824,5652.718530989781,1.0
5659.340078491179,0.4160495514040329,5658.7738093614835,5659.9064042869895,1.0
5661.041576885419,0.1601826233262758,5660.475137505128,5661.608072948861,1.0
5733.2515637852175,0.4693420058303963,5732.677899130271,5733.825285846343,1.0
6080.068925488255,0.5034606077665713,6079.460558560102,6080.6773532952175,1.0
6127.80442018165,0.2641915978934283,6127.191276877336,6128.417624842741,1.0
6130.564102525033,0.2618286629940217,6129.950683089069,6131.177583345408,1.0
6131.722673431479,0.16185629760886144,6131.109138069818,6132.33627018915,1.0
6153.212148812821,0.43017721283382,6152.596463231108,6153.827896005716,1.0
