lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
4350.083094837524,0.6037295245446181,4349.647828934777,4350.518404296994,1.0
4478.23052092678,0.1188896715739115,4477.782432693082,4478.67865400032,1.0
4512.007397196533,0.13746925521618306,4511.555929275088,4512.458910296025,1.0
4574.060064474974,0.1813524814138361,4573.602387612307,4574.517787137011,1.0
4578.376448401928,0.4616047156035888,4577.918339645272,4578.834603001175,1.0
4603.210074932586,0.7676167556764812,4602.749481342736,4603.670714613682,1.0
4633.354003718116,0.1919143691545394,4632.890393950392,4633.8176598789105,1.0
4646.4066590632865,0.2945710122717572,4645.941743257106,4646.871621393233,1.0
4659.515611745426,0.21022104317604529,4659.0493842677215,4659.981885878155,1.0
4661.643808271931,0.23691513500759875,4661.1773678485515,4662.1102953716445,1.0
4662.126751011826,0.2317036340256381,4661.660262265575,4662.593286439246,1.0
4672.909246714528,0.1957067918897372,4672.441679080213,4673.3768611379755,1.0
4673.55391324564,0.4961738900419944,4673.086281106497,4674.021592180369,1.0
4684.788260828379,0.5942531027939897,4684.319504589228,4685.257063975605,1.0
4706.181551520936,0.6246882358736809,4705.710654685898,4706.652495478258,1.0
4727.374557550533,0.20713360921442991,4726.901540159932,4727.847622275619,1.0
4775.210371758823,0.1326961965952329,4774.73256795417,4775.688223376935,1.0
4782.060729601739,0.1138111252112859,4781.582240355652,4782.539266729875,1.0
4795.608525804524,0.1541271039334976,4795.128680976575,4796.088418650175,1.0
4832.441952209865,0.6201981159194341,4831.958421858158,4832.925530948081,1.0
4895.842272120302,0.11520643654406032,4895.352397982309,4896.332195279622,1.0
4897.7191374662,0.3698288325252019,4897.229075530532,4898.209248441987,1.0
4913.776639690615,0.08947789094448289,4913.2849710538685,4914.268357528264,1.0
4918.5163304049265,0.5603183224627053,4918.024187518445,4919.008522539768,1.0
4924.438654087439,0.16917455079240126,4923.945918617895,4924.931438864643,1.0
4932.090586585306,0.16545880678739872,4931.597085469396,4932.5841370854905,1.0
4937.122246967271,0.5270786245604092,4936.62824238737,4937.616300981829,1.0
4937.6271949530155,0.4776564872243216,4937.133139848415,4938.121299497329,1.0
4951.4013434228555,0.6289072660964715,4950.905910087762,4951.89682633558,1.0
4971.217459590916,0.655614342553548,4970.720043470781,4971.714925487099,1.0
5012.247458360242,0.4631689509031485,5011.745936810608,5012.749030096749,1.0
5033.225965809571,0.230460959483808,5032.722345166936,5033.729636849135,1.0
5034.041270932582,0.20452097477880726,5033.5375687111555,5034.545023559101,1.0
5115.862303387635,0.0705588494939566,5115.350414217873,5116.374243781752,1.0
5119.269827413945,0.255642948854064,5118.75759729,5119.782108796362,1.0
5142.159063432995,0.19656416257031106,5141.644543030046,5142.673635323603,1.0
5143.083759362424,0.7620097058844406,5142.569146435126,5143.5984237866405,1.0
5148.821457165675,0.4946531457717638,5148.306270128835,5149.336695756885,1.0
5156.470869773626,0.4326659357118743,5155.954917342559,5156.986873835654,1.0
5202.438249121573,0.11352217978830435,5201.91769723058,5202.958853103791,1.0
5218.7531119754185,0.7413251569950471,5218.230927632045,5219.2753485733765,1.0
5234.308789063579,0.735964092986788,5233.785048231356,5234.832582306143,1.0
5235.9908077005375,0.5761841699469217,5235.466898566849,5236.514769261409,1.0
5243.861068690676,0.7278114395208996,5243.336372064845,5244.385817822493,1.0
5286.503690583751,0.2655529099591261,5285.974727170618,5287.0327069298455,1.0
5293.960743051208,0.29588906768751994,5293.431033491253,5294.490505618789,1.0
5296.692390951714,0.2886275901223673,5296.162408065213,5297.222426873193,1.0
5307.243391014608,0.180601483825912,5306.712352403316,5307.774482766525,1.0
5322.493629866952,0.3832121973051348,5321.96106532872,5323.026247698505,1.0
5328.199905504618,0.12078150726279832,5327.666770000922,5328.733094358773,1.0
5338.177460388223,0.5718862041378805,5337.64332653821,5338.7116476885985,1.0
5344.09252105178,0.2741332081150063,5343.557795345437,5344.627300267713,1.0
5353.43844948239,0.19907283969116102,5352.902788629777,5353.974163938171,1.0
5359.509237867005,0.11135116428494364,5358.972969576068,5360.045559821896,1.0
5379.008193688515,0.3778222796054437,5378.469974347352,5379.5464668888735,1.0
5380.976780369568,0.5461006182181706,5380.438364053165,5381.515250564876,1.0
5384.775542953698,0.7246788074966644,5384.23674653609,5385.314393288248,1.0
5446.463802322293,0.6947939184698206,5445.918833425834,5447.008825753369,1.0
5521.014318974864,0.17084933155528162,5520.461890612179,5521.56680261863,1.0
5523.882306518852,0.3979307135500855,5523.329591187581,5524.435077159918,1.0
5524.788331507608,0.4409482155301648,5524.235525520188,5525.341192813897,1.0
5528.249729651726,0.5394353089568287,5527.6965773195225,5528.802937337457,1.0
5529.849659346202,0.8233970344052396,5529.296346926289,5530.403027135663,1.0
5539.233987176641,0.753850227890692,5538.679735768244,5539.788294048548,1.0
5539.239375601663,0.774690857971609,5538.685123654104,5539.793683012786,1.0
5544.632434597018,0.4768799775262856,5544.077643024206,5545.187281687394,1.0
5545.3782882631285,0.5095832712708526,5544.823422060784,5545.933209990506,1.0
5547.9500201840165,0.4465616348860172,5547.394896656193,5548.505199262623,1.0
5564.154252610813,0.4693896742281396,5563.597507700202,5564.711053234459,1.0
5577.542552349065,0.7146472290387289,5576.984467815682,5578.100692729537,1.0
5580.171171959922,0.5000355291925426,5579.612824408922,5580.72957538433,1.0
5588.212538134089,0.6738679506190487,5587.653385970297,5588.771746251807,1.0
5592.209873323643,0.42931945929244986,5591.650321189626,5592.769481451609,1.0
5595.190951274016,0.28994592005108905,5594.631100855678,5595.750857716153,1.0
5595.192111085531,0.3297378272744632,5594.632260551143,5595.75201764373,1.0
5609.121652922318,0.14883551958330746,5608.5604086089,5609.682953399023,1.0
5610.431100017791,0.10692040310523583,5609.869724682123,5610.992531529857,1.0
5615.7298809810745,0.10405109138671373,5615.167975453539,5616.291842738063,1.0
5620.093437384463,0.43852347247910695,5619.531095242895,5620.655835799174,1.0
5635.4107264111035,0.491397550088893,5634.84685163361,5635.974657615112,1.0
5641.773665255824,0.13199860764046062,5641.209153807659,5642.338233194214,1.0
5652.152924406935,0.2873207207077001,5651.58737441824,5652.718530989781,1.0
5652.9375307228,0.17408430144319306,5652.3719022270125,5653.503215820595,1.0
5655.33333678763,0.3491334314628665,5654.767468569367,5655.89926163189,1.0
5659.340078491179,0.4160495514040329,5658.7738093614835,5659.9064042869895,1.0
5661.041576885419,0.1601826233262758,5660.475137505128,5661.608072948861,1.0
5668.1486624529125,0.10569966135340253,5667.581511943214,5668.715869716925,1.0
5670.503876794219,0.21712839002864287,5669.936490623621,5671.071319742713,1.0
5672.321895905721,0.2476642702972384,5671.754327825556,5672.889520781986,1.0
5733.2515637852175,0.4693420058303963,5732.677899130271,5733.825285846343,1.0
5794.572461421745,0.2378333146212568,5793.992661045874,5795.152319817792,1.0
5829.390053510492,0.11777926536295445,5828.8067693136645,5829.97339607612,1.0
6041.290608160907,0.16690794205102,6040.686121360773,6041.89515545157,1.0
6080.068925488255,0.5034606077665713,6079.460558560102,6080.6773532952175,1.0
6091.787573480642,0.3352433747641244,6091.178033993761,6092.397173963669,1.0
6091.788406940872,0.3648363594435111,6091.178867370596,6092.398007507302,1.0
6112.65750711894,0.2492318006753192,6112.045879402867,6113.269196040126,1.0
6113.232304240362,0.14337157782098642,6112.62061901054,6113.844050681053,1.0
6126.60825538092,0.1360882523117769,6125.995231763918,6127.221340342722,1.0
