Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s],Score_1 [nondim],e_Score_1 [nondim],Score_2 [nondim],e_Score_2 [nondim]
58715.48720578408,2.8484279321564827,0.22512174009452252,-42343.0685685323,0.22512174009452252,-0.13434913635326037,NaN,0.08624657214147238,NaN
58719.46921322035,0.6874274703804986,0.21835918619322062,-42341.37331597159,0.21835918619322062,-0.11112959838710575,NaN,-0.010934287974822567,NaN
58719.47188438968,-2.2937624886762933,0.22229089436726285,-42340.3547782454,0.22229089436726285,-0.09414095954261104,NaN,-0.06577741817171268,NaN
58720.49734657032,-0.6028976949382923,0.21949876724761874,-42341.00753872834,0.21949876724761874,-0.09997118021644896,NaN,-0.024728187138882612,NaN
58764.40302325105,-0.4239350009302143,0.21315951652455312,-42338.42844395483,0.21315951652455312,-0.006499598625946179,NaN,-0.10472684404603105,NaN
58764.4047259377,1.1078536001878092,0.21096742718326042,-42339.05152358276,0.21096742718326042,0.016358575791280083,NaN,-0.03237800094588339,NaN
58764.40649792877,1.1798972631149809,0.22750629629586144,-42338.38788183914,0.22750629629586144,0.018756981215166113,NaN,-0.07822937139975301,NaN
58772.45141617271,-2.9028233271674253,0.24654569680457433,-42339.00997595001,0.24654569680457433,-0.059199552396220975,NaN,-0.12358978836567125,NaN
58772.45403845654,-0.09690622485504718,0.2186791547137162,-42340.746148106606,0.2186791547137162,-0.006020700222459985,NaN,0.06573729039157507,NaN
58772.45668328182,1.4296039327600738,0.2215104030251186,-42342.67088453927,0.2215104030251186,-0.1570489687057492,NaN,0.030605705334038558,NaN
58780.35412400027,-1.5562720909001655,0.20108341342463926,-42340.994053741764,0.20108341342463926,-0.0700687899968486,NaN,0.009175271886953077,NaN
58780.35707840078,0.36217987090640236,0.20232598120467052,-42340.918565060216,0.20232598120467052,-0.09451595346533187,NaN,-0.024885127493974677,NaN
58780.35981129807,-0.023155132817919366,0.19784627492626938,-42341.15704572029,0.19784627492626938,-0.14047330322547028,NaN,-0.061028642082683236,NaN
58781.43627418771,-2.156216853305523,0.19919888108808342,-42338.59819943528,0.19919888108808342,0.02182986454689987,NaN,-0.05922585777361823,NaN
58781.4400922838,-2.681691895799304,0.197934728891079,-42338.942804278515,0.197934728891079,0.026517515198908433,NaN,-0.02849385533330784,NaN
58781.44404569107,-0.8538105478291982,0.2153679725292357,-42339.34661772547,0.2153679725292357,0.011355949926677012,NaN,-0.01658274010064913,NaN
58788.44648133029,-2.4455602668895153,0.23689819486872138,-42338.40475621413,0.23689819486872138,0.0916155973712656,NaN,0.008023716392409844,NaN
58788.44761548052,-0.8361882979952497,0.2428118010835759,-42340.89821974178,0.2428118010835759,-0.0007267611249339686,NaN,0.08306260164827821,NaN
58788.44857690371,-1.0141934198400122,0.23842053401161195,-42340.753937078975,0.23842053401161195,-0.1154308811367275,NaN,-0.061358477449969265,NaN
58794.40513482858,-0.13156936921586748,0.19475197502429448,-42337.371200250156,0.19475197502429448,0.020189121772710265,NaN,-0.1510887443895378,NaN
58794.40672219306,0.04461414747493109,0.21334426177879717,-42336.660215896125,0.21334426177879717,0.15447314860385516,NaN,-0.046518155581634406,NaN
58794.40829792922,-1.2686596443672897,0.20152855081183585,-42335.32552028889,0.20152855081183585,0.18604816561341342,NaN,-0.10751774688707058,NaN
58794.4099494837,3.461217493713775,0.20008716756395617,-42340.11906118658,0.20008716756395617,-0.03328589094072655,NaN,-0.012047704619634067,NaN
58795.39805369527,2.065772922236647,0.2026120997904181,-42338.44163710432,0.2026120997904181,0.1350655098879338,NaN,0.06142748766570048,NaN
58795.40051267445,3.485382988474157,0.2031961264513771,-42339.733694296716,0.2031961264513771,0.1162660661852712,NaN,0.13420871076925242,NaN
58795.4031065985,-0.17196142688771943,0.20271836966898396,-42335.94320901795,0.20271836966898396,0.21803512598326738,NaN,-0.024912049503586255,NaN
58795.40786679748,1.3326542469949345,0.20235676124864002,-42337.346629422245,0.20235676124864002,0.04639699055005463,NaN,-0.12230896439709767,NaN
58796.34460004075,4.515558229155431,0.2057001160494774,-42341.31889738388,0.2057001160494774,-0.07249008417542584,NaN,0.030163459099638745,NaN
58796.3460857711,0.19841633422038285,0.2070240449735525,-42337.40327525771,0.2070240449735525,0.1376019306323879,NaN,-0.011732668579156278,NaN
