lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs,order,weight_snr,weight_input
5162.272357890738,0.000515416384154703,5160.416055321865,5162.740342681181,1.0,43,0.031093119238866183,0.01657654158771038
5162.472419956159,0.002562614259486355,5160.616045446926,5162.940422883189,1.0,43,0.03175528573287784,0.08069882541894913
5162.623474216043,0.0012415366424360747,5160.76704538918,5163.091490836868,1.0,43,0.030743727111237903,0.040383413434028625
5162.904743628713,0.00038535997952953425,5161.048213660123,5163.372785747961,1.0,43,0.03185439529630111,0.012097544968128204
5163.183976139379,0.0035675859326421318,5161.327345761515,5163.652043572396,1.0,43,0.0317965627783741,0.11220036447048187
5163.719559480291,0.018735961935611594,5161.862736511904,5164.18767546651,1.0,43,0.03307279596026662,0.5665067434310913
5163.985093345012,0.0018004892839485493,5162.128174893248,5164.453233403151,1.0,43,0.03383130656073959,0.053219620138406754
5164.171011186181,0.0017033583272142215,5162.314025880182,5164.639168098666,1.0,43,0.034484871167341766,0.04939436540007591
5164.346179535931,0.0017606365296661268,5162.489131241109,5164.814352328269,1.0,43,0.035270587739894985,0.049917981028556824
5164.555510819949,0.003916111370079597,5162.6983872516485,5165.023702589173,1.0,43,0.03608975871183894,0.108510322868824
5164.8629776878915,0.0029073486916292766,5163.005743557518,5165.331197330464,1.0,43,0.037767371876651495,0.07698043435811996
5165.037485392107,0.0025179133795115607,5163.180188510471,5165.505720854641,1.0,43,0.03902949751684338,0.06451308727264404
5165.292361310608,0.0016857063438657626,5163.43497277809,5165.760619878869,1.0,43,0.03964183591394945,0.04252341762185097
5165.675308342241,0.001548476741707228,5163.8177821057225,5166.143601626491,1.0,43,0.0398510540170711,0.03885660693049431
5165.989145676964,0.008936737635161092,5164.131506587613,5166.457467412076,1.0,43,0.039255002095948434,0.22765856981277466
5166.163018112599,0.0018691573252734247,5164.305316500425,5166.631355610083,1.0,43,0.03903150007203543,0.04788843169808388
5166.5077453208,0.002579451529515394,5164.649919748097,5166.976114069461,1.0,43,0.03754944368883512,0.06869480013847351
5166.855449861907,0.013687904758379554,5164.997499258058,5167.3238501316555,1.0,43,0.03531969834001625,0.38754308223724365
5167.387019729741,0.0022460732076400127,5165.528877978575,5167.855468188852,1.0,43,0.03167002415739628,0.07092110812664032
5167.724378287484,0.017911903682257004,5165.866115225485,5168.192857329768,1.0,43,0.02714464498406398,0.6598687767982483
5168.770428687042,0.01490250135141054,5166.911789475568,5169.239002558821,1.0,43,0.02487717592162708,0.5990431308746338
5168.938172582497,0.014428364466689188,5167.079473051961,5169.4067616610655,1.0,43,0.02601705028035402,0.5545734167098999
5169.593646468311,0.002274948230494948,5167.7347112357875,5170.062294968737,1.0,43,0.027106257448370287,0.08392705023288727
5170.098253892272,0.011679938704420117,5168.239137207862,5170.5669481377845,1.0,43,0.03734155609861684,0.31278660893440247
5170.347672601477,0.028465337817598912,5168.488466228542,5170.816389457994,1.0,43,0.04158589759235745,0.6844949722290039
5170.7371439452445,0.004485572374656609,5168.87779752223,5171.205896109211,1.0,43,0.04648954905263318,0.09648560732603073
5170.917427899979,0.0014336254441436836,5169.058016648621,5171.386196407551,1.0,43,0.046923450621292086,0.03055243007838726
5171.536788375214,0.0009556975873475166,5169.677154407896,5172.00561303079,1.0,43,0.05128705732394137,0.018634283915162086
5172.027740646545,0.003230469131077937,5170.167930137599,5172.496609809302,1.0,43,0.04880099783510894,0.06619678437709808
5172.209528632315,0.006881469968551605,5170.34965275419,5172.678414275027,1.0,43,0.047316089124458206,0.1454361528158188
5172.468845037926,0.0027787560516927207,5170.608875912163,5172.937754188916,1.0,43,0.04380783664410536,0.06343057006597519
5173.048979242809,0.021096405720065783,5171.188801506469,5173.517940985752,1.0,43,0.03317391694154021,0.635933518409729
5174.13626566556,0.016877627624572122,5172.275696951673,5174.605325976241,1.0,43,0.025823979930392385,0.6535641551017761
5175.19018939938,0.02209206411426593,5173.329241704842,5175.659345253311,1.0,43,0.0425583037470454,0.5191011428833008
5175.881463917518,0.0027655677572560318,5174.0202676474355,5176.350682438804,1.0,43,0.0590829831086801,0.04680819436907768
5176.362300921599,0.004643489807433811,5174.500931747241,5176.83156303307,1.0,43,0.06840846275509013,0.06787887960672379
5176.680634582473,0.002340359988462526,5174.81915093845,5177.1499255524195,1.0,43,0.07328712151651799,0.03193412348628044
