Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_D [m/s],e_RV_D [m/s],Score_1 [nondim],e_Score_1 [nondim]
58524.47062214726,-5539.435873870157,0.5812550487395417,-0.1396186605825278,NaN,-0.03922602573194285,NaN
58524.48400493971,-5536.741213602217,1.9157139976045967,-1.6683591749351763,NaN,-0.3753272701825625,NaN
58524.4961207087,-5537.669468594856,0.548616648308475,-0.7589910557881012,NaN,-0.17539814314008736,NaN
58524.50173853929,-5539.842701694749,0.5558574126296991,0.16047477803658694,NaN,0.026751016954124834,NaN
58524.50784795779,-5539.155773416652,0.5516633300404655,0.2775812061254328,NaN,0.05249745059952341,NaN
58559.26410035071,-5533.917761454345,0.7345882113445947,0.7810496586962472,NaN,0.16318750680082694,NaN
58559.26852228207,-5533.351156513584,0.7282758165006089,0.0068434059649007395,NaN,-0.007025608218801024,NaN
58559.27287035819,-5531.811009336893,0.7612407842255726,-0.2880148765952981,NaN,-0.07185167567398779,NaN
58600.31385469592,-5539.616336349145,0.5729403036876763,2.0970806228515357,NaN,0.4525234932781867,NaN
58606.31363546995,-5539.231264864428,0.4568768433324857,1.0781173750356174,NaN,0.22849932931778955,NaN
58608.31418599658,-5538.702048388633,0.4524305729072757,0.6945644599254592,NaN,0.14417330350053223,NaN
58609.34330039589,-5536.571028325851,0.6690537944772518,0.1993219443520502,NaN,0.03529176067061472,NaN
58616.25155577868,-5535.92814108258,0.512669519758382,0.6116231555160994,NaN,0.12593824309180518,NaN
58621.26517668973,-5539.858269750697,0.5209843307129155,1.0670036215560685,NaN,0.22605591505608935,NaN
58634.17299599143,-5532.4320397373,0.5239023316433553,0.6979760106414687,NaN,0.1449233499801727,NaN
58641.15861521435,-5535.1492553395055,0.7264287946928267,0.5751592947917743,NaN,0.11792148102402598,NaN
58641.16419015514,-5535.043794807499,0.553409603153608,0.7692627046444613,NaN,0.16059608602801675,NaN
58642.18509224348,-5536.880821599967,0.602046386548577,1.0577263382583624,NaN,0.2240162579447938,NaN
58646.17723320273,-5536.026974641118,0.7991042528504765,1.1846292740865465,NaN,0.25191650279076605,NaN
58794.5362263679,-5538.792314007041,0.5953236038937834,-0.886536427642568,NaN,-0.20343963075783753,NaN
58794.53933493886,-5537.833493916492,0.7437598045853805,-2.0088768056002664,NaN,-0.45019177357574697,NaN
58796.53476067391,-5541.625786342977,0.6909233132066598,-2.1330652320693844,NaN,-0.47749521996894384,NaN
58796.53794822391,-5540.976890511442,0.6903619154487504,-2.17958008370897,NaN,-0.4877217426355319,NaN
58829.49064500126,-5539.642547681356,0.6949744887073824,-3.504508218204137,NaN,-0.7790138164904189,NaN
58829.49335815907,-5539.045209608755,0.6951425441777269,-4.23791587300002,NaN,-0.9402571557964226,NaN
58829.49706227565,-5540.237393047996,0.694591637512776,-3.527767353226409,NaN,-0.7841274536004198,NaN
58829.50122148493,-5538.358487281224,0.696368023380426,-4.262372843015328,NaN,-0.9456341429176882,NaN
58907.42317911157,-5535.0223063285375,0.7117828786470739,-0.6287711106697316,NaN,-0.14676863721944644,NaN
58907.42750974651,-5536.128930312029,0.7086753884478071,-1.250421613409344,NaN,-0.2834416079576108,NaN
59024.15840801896,-5541.983323962635,0.6997460892589666,0.8348235229359489,NaN,0.1750099596764308,NaN
59024.16680773535,-5542.752126442152,0.70142658141995,0.7346872602602161,NaN,0.1529945017329808,NaN
59024.17516547823,-5543.376055785219,0.6984339784008623,1.22097730076257,NaN,0.2599077981639861,NaN
59028.15519504085,-5538.450419824882,0.6807094473889926,0.4501202635847221,NaN,0.09043102492688154,NaN
59028.15809539583,-5537.75734423243,0.680859291015871,1.4083812397830116,NaN,0.30110949101391193,NaN
59028.16132218569,-5539.29147837143,0.6811525919626279,1.380152090172487,NaN,0.2949031713508813,NaN
59030.18783751596,-5542.549770724994,0.9339065052072241,1.5190108125470942,NaN,0.32543195563760996,NaN
59030.20024552362,-5539.839213892651,0.6750173670988632,0.8076520884796992,NaN,0.16903618397761097,NaN
59030.21187923916,-5541.066394304878,0.6804844101167692,1.9530056359208174,NaN,0.4208478871522548,NaN
59031.15795743078,-5541.13877561322,0.6268743136745268,0.6307354353539267,NaN,0.13014017335896924,NaN
59031.16240271593,-5539.66706712535,0.6430319316668095,0.6822855016271205,NaN,0.1414737131345533,NaN
59031.16664488376,-5538.6237521174735,0.6386072216992957,-0.112827197021943,NaN,-0.03333578853418738,NaN
59033.15660780323,-5539.1018600676425,0.656575413981594,2.144802642549621,NaN,0.4630154178774135,NaN
59033.15855354189,-5537.856592481843,0.6631830571475545,1.7014037897852177,NaN,0.3655319634892615,NaN
59033.16227024853,-5537.72846241099,0.6639573584898344,0.8611750911768468,NaN,0.18080348368907065,NaN
