Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_D [m/s],e_RV_D [m/s],Score_1 [nondim],e_Score_1 [nondim]
58524.47062214726,-5547.344198707703,0.6409453726926525,-0.313764652856662,NaN,-0.07507988986430686,NaN
58524.48400493971,-5542.15097610204,2.11422884143029,-1.9099611425372132,NaN,-0.4096643699771032,NaN
58524.4961207087,-5546.075384958914,0.6042477727850686,-0.5838376671736114,NaN,-0.13169086456055,NaN
58524.50173853929,-5548.200630547316,0.6123102228577404,0.30795457956537575,NaN,0.055240911804534824,NaN
58524.50784795779,-5547.473595787501,0.6079146738326103,0.32772920789739146,NaN,0.05938594268426109,NaN
58559.26410035071,-5542.753062396632,0.8100048641940991,1.0767995720616454,NaN,0.2164012725526893,NaN
58559.26852228207,-5541.732305150774,0.8029922291835022,0.16576429152428318,NaN,0.025435894747490233,NaN
58559.27287035819,-5540.648387258804,0.8394775079784199,0.15059996254694852,NaN,0.022257245276766677,NaN
58600.31385469592,-5547.925225004866,0.6330371470059093,2.2714796083319015,NaN,0.4668224465250959,NaN
58606.31363546995,-5547.56884417975,0.5034068892162805,1.2012447174129193,NaN,0.24248666650579892,NaN
58608.31418599658,-5546.7016683111,0.4985298523492271,0.6427435242785577,NaN,0.12541722514595569,NaN
58609.34330039589,-5545.101626398448,0.7380825905401388,0.42576262473812676,NaN,0.07993507934729448,NaN
58616.25155577868,-5544.810864032557,0.5647808924708693,0.6724177765363493,NaN,0.1316373517586903,NaN
58621.26517668973,-5548.057749932412,0.573975486891292,1.0999871837911996,NaN,0.2212617111425646,NaN
58634.17299599143,-5540.584352649453,0.5794059963847737,0.7546954345471022,NaN,0.14888386721486274,NaN
58641.15861521435,-5543.4163806227625,0.7997338368924648,0.4229630980289585,NaN,0.07934826049716066,NaN
58641.16419015514,-5543.183043597359,0.6079178722306549,0.7965331777240863,NaN,0.15765362685307013,NaN
58642.18509224348,-5544.989946848755,0.6675980185498546,1.2348099022365204,NaN,0.24952238547070116,NaN
58646.17723320273,-5544.745439228135,0.8798282941928475,0.9927683888718093,NaN,0.19878719438461573,NaN
58794.5362263679,-5547.445391595603,0.656104854940541,-0.7271208882930296,NaN,-0.16172497524628407,NaN
58794.53933493886,-5545.666815329892,0.8196051720860005,-2.0577434431743313,NaN,-0.4406415488821418,NaN
58796.53476067391,-5549.706505183974,0.7609783144194983,-1.701960389587839,NaN,-0.3660645849640927,NaN
58796.53794822391,-5549.519400185781,0.760417675412626,-2.0286512170250717,NaN,-0.4345434228529216,NaN
58829.49064500126,-5548.388315473836,0.7674185325826729,-3.4994485926281413,NaN,-0.7428425442010276,NaN
58829.49335815907,-5547.760232209248,0.7675464618589091,-4.074538785815093,NaN,-0.8633892654533915,NaN
58829.49706227565,-5548.039247552358,0.766779892411243,-4.2041860690887916,NaN,-0.8905650982236775,NaN
58829.50122148493,-5547.120292905486,0.768706757446816,-4.41308481140004,NaN,-0.9343531140127372,NaN
58907.42317911157,-5543.591631660067,0.7837594508699917,-0.6306782956999086,NaN,-0.14150929696850906,NaN
58907.42750974651,-5543.918225259269,0.7802293179482472,-1.2678500401298152,NaN,-0.2750691551882789,NaN
59024.15840801896,-5549.827504244622,0.7733089817218903,0.5937738018719756,NaN,0.11515250572172764,NaN
59024.16680773535,-5551.647079548447,0.774802442457615,0.8998967947927667,NaN,0.1793200459332488,NaN
59024.17516547823,-5551.05567701049,0.7708322810528285,0.7404456366903105,NaN,0.14589691589740203,NaN
59028.15519504085,-5546.219314871701,0.7490503576998248,0.22890319631460443,NaN,0.03867066739035643,NaN
59028.15809539583,-5545.37361139038,0.7492012506832211,0.6908559461080586,NaN,0.13550224271676625,NaN
59028.16132218569,-5547.495085752897,0.7492296740027741,1.3068079235126788,NaN,0.2646141493440472,NaN
59030.18783751596,-5551.028665861239,1.027783102615252,1.5017243966058231,NaN,0.3054712914546005,NaN
59030.20024552362,-5547.5623080916985,0.7434971378114661,0.7843291807366768,NaN,0.15509550320501506,NaN
59030.21187923916,-5549.621736542396,0.7494662160885726,1.94701625876678,NaN,0.39881051827456865,NaN
59031.15795743078,-5549.394387130236,0.6847807846667041,0.42861405431449384,NaN,0.08053277774381755,NaN
59031.16240271593,-5548.103502567089,0.7020250755551549,0.8268820600178515,NaN,0.16401516509093586,NaN
59031.16664488376,-5546.761372752756,0.696558944235924,-0.03805345032378682,NaN,-0.0172870742822775,NaN
59033.15660780323,-5547.910669792427,0.722926906536717,2.242466775455796,NaN,0.46074096240511503,NaN
59033.15855354189,-5546.403871399774,0.7297940522303904,1.6073777877372777,NaN,0.32761767830129307,NaN
59033.16227024853,-5547.079138040707,0.7309451475303053,1.1075325826859626,NaN,0.2228433293097505,NaN
