,x_0(xi_1),x_0(xi_2),x_0(xi_3),x_0(xi_4),x_0(xi_5)
0,-0.0,-0.0,-0.0,-0.0,-0.0
1,0.0065291822371016505,-0.007327968553427031,0.0038533825391305434,-0.07549946536509415,0.8453289632083044
2,-0.0011783384262473984,0.0039338664151863665,-0.006493005712315241,-0.012615627328642135,-0.47474391341882
3,-0.0015022951485091005,0.0011794725586381312,-0.003904127541232511,-0.0068681262638198935,-0.3689989542578963
4,-0.00019582105548550637,0.0010016026368607253,-0.0028917272377258847,-0.015273152956063303,-0.23524315126106138
5,0.006786834124129301,0.007339133245160817,0.0028388038156304703,-0.002458027515893765,-0.1834093004903342
6,0.007970204610234321,0.0044169201264702895,0.004344530655859266,-0.024144811973861775,0.4347663837581209
7,0.008819536856674838,0.005906109131758675,0.006697552336427241,-0.01902340041093996,0.05231143793805951
8,0.010885490792726087,-0.009726681333080668,-0.024518373798612034,-0.09314044563069913,0.2828213983833779
9,0.001385103725241426,0.0014572768816844901,7.48872260069309e-05,-0.022117124044229344,0.28943485102258887
10,0.0024627619014626076,0.00023461224913534434,-0.003610713455839778,-0.011407407189470059,-0.47688255856796186
11,0.006452695072336552,-0.0007005154691043214,-0.0016472317361001163,-0.02590401056163423,0.10567241872572042
12,0.009656697860259675,-0.0037078143424141203,-0.02437122903296057,-0.0623264917785166,0.21987275268436057
13,-0.0002032342173212763,0.005074421167006855,9.220046248740984e-05,-0.013153579764887681,-0.2322393778847176
14,0.009489690525066567,0.004584575019413795,-0.01031415462156992,-0.015411920416638258,-0.4344856857056894
15,0.006645239259682346,0.0018091978933238617,-0.0022765639354318952,-0.02923839246523024,0.05703693591362894
16,0.0018535718291955753,0.007942110089109179,-0.010606640757523319,0.0009110912733115144,-0.9142146392732577
17,0.01285157881345481,-0.006846541596826113,0.005592034228381027,-0.08523890678061269,0.7022734663898412
18,0.004749368418308399,0.004213765877464487,-0.0034311721199507543,-0.025001631695451783,-0.20626652251627262
19,0.002354957337378873,-0.0030230218607822643,-0.025363372748644045,-0.030057595318849686,-0.28050666115346873
20,0.001075814189484482,-0.0005168041136317708,-0.024428582735079214,-0.040884357919060484,-0.1758643272183693
21,-0.005496568589287594,-0.0016649716946823686,-0.0135516878289102,-0.01844999583367421,-0.46863655121507297
22,-0.0052130077659008,8.930361504160508e-05,-0.01402613900534212,-0.024767827516426585,-0.8120441315052898
23,0.0009470257517461002,-0.008388153335152962,-0.02171540728490538,-0.07497997684120034,0.6021695685192135
24,0.0009900217943422315,-0.00895503764670693,-0.019901544841674196,-0.05866865648717865,0.33179748491915256
25,0.0010420517157846809,-0.010405546819948883,-0.020390192863793365,-0.06542132464935438,0.551323375048843
26,0.0018710278677316128,-0.008075012229587591,-0.018854037834448105,-0.06667968566374158,0.6981141247027837
27,0.00133544569560611,0.008011286597114883,-0.001436491318874655,-0.009615970490714448,-0.24598015140771745
28,-0.00041426525114079434,0.006025718880441734,-0.000901397862961376,0.00782576253923349,-0.6882916127801664
29,0.004632754810545752,-0.008789254869031302,-0.01464426427490206,-0.06778000321576139,0.6892576669846677
30,0.004150220475317981,-0.009453758471176283,-0.014216265685178777,-0.0681317165062321,0.5453277790980847
31,0.002926326039036573,-0.008220937566922635,-0.023092559010322537,-0.040251626373855286,0.07112053042188382
32,0.0010161720102110656,0.002653693444267661,-0.002263049461833909,-0.019258847291547674,-0.24955332958422868
33,0.003636093224698223,0.0011877339897322808,-0.006743483787490243,-0.019976011071330825,-0.34114038738485386
34,0.0003737588429245225,0.0030000155312901455,-0.002919290926363553,-0.028372956239705597,-0.13919436488343373
35,-0.0022876786625016005,0.000355678658186997,-0.015813419536167588,-0.028268933998251644,-0.6505319061354818
36,-0.0006394477897011652,0.0013021528086186163,-0.013819872331351318,-0.013924398566501042,-0.594553317653713
37,-0.0013852291490089369,0.004863669499837625,-0.022645171683409234,0.015376244078981378,-1.2667104339489235
38,-0.014362836840868275,0.012035357318948302,-0.024702267617595343,0.03767034433511318,-1.759734399177823
39,-0.013796763765232282,0.014428192177783268,-0.022558670353476033,0.026778590506050037,-1.634609669031209
40,-0.014347844438474627,0.013064557953676842,-0.028782945732414942,0.051558828687059195,-1.7316837436750518
41,0.0015279860765538764,0.005196066198183846,-0.004125765420105646,-0.001160725261183285,-0.6211180767646094
42,0.0019302279266291832,0.006631959796375507,-0.006825444308569628,-0.011379795546464734,-0.6175092929839241
43,0.001681374322309274,0.006017565121762326,-0.007801298848766879,-0.001575944531814223,-0.8185601142041135
