Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_D [m/s],e_RV_D [m/s],Score_1 [nondim],e_Score_1 [nondim],Score_2 [nondim],e_Score_2 [nondim]
58524.47062214726,0.05949296366361523,0.5812550487395417,-5539.634985494403,0.5812550487395417,-0.07924787172059422,NaN,-0.07052948050679052,NaN
58524.48400493971,1.221898310483084,1.9157139976045967,-5539.631471087635,1.9157139976045967,0.05300695430126256,NaN,-0.2125986456092872,NaN
58524.4961207087,-0.2543112386538269,0.548616648308475,-5538.17414841199,0.548616648308475,0.024365154682217536,NaN,-0.05405982309176311,NaN
58524.50173853929,-1.4657079879252706,0.5558574126296991,-5538.216518928787,0.5558574126296991,-0.024397492307885054,NaN,-0.005277979131441285,NaN
58524.50784795779,-0.5690719767917471,0.5516633300404655,-5538.309120233735,0.5516633300404655,0.065296185850659,NaN,-0.10995111996437708,NaN
58559.26410035071,1.5797578293295373,0.7345882113445947,-5534.716469624978,0.7345882113445947,0.10236167774780144,NaN,0.16496975570970548,NaN
58559.26852228207,1.8142692396213533,0.7282758165006089,-5535.158582347241,0.7282758165006089,0.05452160278186714,NaN,0.1777290909334617,NaN
58559.27287035819,3.0671706803213965,0.7612407842255726,-5535.16619489381,0.7612407842255726,0.03420026357812078,NaN,0.1989386660326463,NaN
58600.31385469592,-1.4815704343163816,0.5729403036876763,-5536.037685291977,0.5729403036876763,-0.14852206449829036,NaN,0.3192773774406018,NaN
58606.31363546995,0.2393464111664798,0.4568768433324857,-5538.392493900559,0.4568768433324857,0.03695587480526685,NaN,-0.08674776115848705,NaN
58608.31418599658,-0.23153576711047208,0.4524305729072757,-5537.775948161597,0.4524305729072757,-0.03838398376157333,NaN,0.04838611253425307,NaN
58609.34330039589,-0.5850350235323276,0.6690537944772518,-5535.786671357967,0.6690537944772518,0.11466220081390505,NaN,0.057946239672146196,NaN
58616.25155577868,1.2494765223400464,0.512669519758382,-5536.565994449404,0.512669519758382,-0.1373919582065161,NaN,0.2609997914190837,NaN
58621.26517668973,-2.786129493109911,0.5209843307129155,-5536.005136636031,0.5209843307129155,0.17151861957713976,NaN,-0.02240583056042635,NaN
58634.17299599143,4.4208713225752945,0.5239023316433553,-5536.154935049234,0.5239023316433553,0.029523422987301925,NaN,0.11733036074529574,NaN
58641.15861521435,1.2329624850790424,0.7264287946928267,-5535.807058529793,0.7264287946928267,0.03644767486368005,NaN,0.14036049878671852,NaN
58641.16419015514,-1.3101014260510055,0.553409603153608,-5532.964430676803,0.553409603153608,0.20914493912138404,NaN,0.20354449881827535,NaN
58642.18509224348,-1.377169478288124,0.602046386548577,-5534.4459257834205,0.602046386548577,0.08924867563511635,NaN,0.20279408016391065,NaN
58646.17723320273,-2.3893940251145978,0.7991042528504765,-5532.452951341917,0.7991042528504765,0.18013094521414896,NaN,0.27959994664843846,NaN
58794.5362263679,1.2920485913837183,0.5953236038937834,-5540.970899026067,0.5953236038937834,-0.13435122542162606,NaN,-0.07094781296460093,NaN
58794.53933493886,0.9636002605020622,0.7437598045853805,-5540.805970982595,0.7437598045853805,-0.08711856913735948,NaN,-0.10734287567484928,NaN
58796.53476067391,-0.8242894015666025,0.6909233132066598,-5542.93456217348,0.6909233132066598,-0.1254074854681981,NaN,-0.252651467918005,NaN
58796.53794822391,-0.680627049380746,0.6903619154487504,-5542.475843545771,0.6903619154487504,-0.08140054262611476,NaN,-0.25982912491222493,NaN
58829.49064500126,-4.6698556963128794,0.6949744887073824,-5538.477200203247,0.6949744887073824,0.1069711159282069,NaN,-0.11221778350087491,NaN
58829.49335815907,-0.7396634277465637,0.6951425441777269,-5542.543462054008,0.6951425441777269,-0.27519334446429927,NaN,-0.057129519090858095,NaN
58829.49706227565,-1.3990613385531105,0.694591637512776,-5542.3660990626695,0.694591637512776,-0.24219360244986304,NaN,-0.07711265987812703,NaN
58829.50122148493,-0.5162203336813036,0.696368023380426,-5542.104639790558,0.696368023380426,-0.18609578863458207,NaN,-0.11459237569400411,NaN
58907.42317911157,-2.452706513691737,0.7117828786470739,-5533.1983709255155,0.7117828786470739,0.33205029626345245,NaN,0.10805900268585676,NaN
58907.42750974651,0.234857983900838,0.7086753884478071,-5537.6142099093395,0.7086753884478071,0.022659565394494745,NaN,0.054170328129725394,NaN
59024.15840801896,-1.2470925191300921,0.6997460892589666,-5539.901407920569,0.6997460892589666,-0.19205810607635246,NaN,0.0848950268277585,NaN
59024.16680773535,-0.020514173025730997,0.70142658141995,-5541.996925008866,0.70142658141995,-0.40521261284133164,NaN,0.13073388128993746,NaN
59024.17516547823,-2.100271020638502,0.6984339784008623,-5540.054807463818,0.6984339784008623,-0.2993477046191281,NaN,0.18695381291761673,NaN
59028.15519504085,-0.07647993549107923,0.6807094473889926,-5537.923819625807,0.6807094473889926,0.13194615876065108,NaN,-0.09061170074459587,NaN
