lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
4349.92235376364,0.5720009847115666,4349.487103944519,4350.357647137875,1.0
4505.848940052216,0.3852524206762408,4505.398088341161,4506.2998368796525,1.0
4549.793052153977,0.8332654846457381,4549.337803429531,4550.248346434812,1.0
4575.248282811126,0.3423997824250003,4574.790487056265,4575.706124377255,1.0
4603.0411246358535,0.7575934760799483,4602.580547951037,4603.501747410223,1.0
4618.3125874979905,0.7370848688312664,4617.8504827625775,4618.774738475869,1.0
4646.235872895864,0.3510312449140769,4645.770974178414,4646.70081813537,1.0
4673.381863403162,0.385683786444204,4672.914248479192,4673.849525120997,1.0
4679.90282007186,0.7984439321241559,4679.43455266608,4680.371134336799,1.0
4684.6161214053645,0.5367809437822495,4684.14738239035,4685.084907326731,1.0
4706.008104645038,0.5801159433905607,4705.537225164957,4706.479031245664,1.0
4793.934699893417,0.2933035685568052,4793.455022547176,4794.4144252406,1.0
4832.264704048268,0.5791682614273999,4831.781191431873,4832.748265049398,1.0
4887.431217233599,0.5996771608819365,4886.942184699162,4887.920298705146,1.0
4914.721408732253,0.5900408089208521,4914.2296455626565,4915.21322111221,1.0
4914.7215512979965,0.5710050055770609,4914.229788114136,4915.21336369222,1.0
4918.335004019444,0.4981853330302745,4917.842879276337,4918.827178009094,1.0
4918.335078484766,0.5224189280248844,4917.842953734209,4918.827252481868,1.0
4936.940664886757,0.4595110438214452,4936.446678475817,4937.434700730537,1.0
4937.445333995496,0.38747533360970665,4936.95129708776,4937.939420341124,1.0
4951.218914634317,0.6002968891056795,4950.723499552905,4951.714379291534,1.0
4971.03392674019,0.5880306279805376,4970.5365289842075,4971.531374270382,1.0
5089.291177686863,0.25829909100177595,5088.781947203099,5089.800459128929,1.0
5098.63058037369,0.32165309402899583,5098.120415396617,5099.1407964025775,1.0
5116.5408907030605,0.5592825553657017,5116.028933634383,5117.052899002887,1.0
5148.6326451488285,0.5902806076011994,5148.117477004371,5149.147864845765,1.0
5156.280236495921,0.35391986384311336,5155.764303139471,5156.796221481423,1.0
5218.56128954063,0.742076786418068,5218.039124390859,5219.083506943065,1.0
5235.797982597226,0.5036964403207336,5235.274092757466,5236.321924862238,1.0
5243.667928933642,0.7043577283303852,5243.143251633223,5244.192658738112,1.0
5261.560495239521,0.2967170270556241,5261.034027622951,5262.087015539299,1.0
5296.497528339961,0.19147472642003285,5295.96756495126,5297.02754476169,1.0
5322.298428798446,0.2681112825054543,5321.765883791881,5322.83102709638,1.0
5337.981831683062,0.5736384989656427,5337.447717407505,5338.515999407024,1.0
5341.12787098325,0.7573515621502676,5340.593441917467,5341.662353528937,1.0
5341.127876394332,0.7322740268684913,5340.593447328008,5341.662358940561,1.0
5380.778255822166,0.4937469923286644,5380.239859369974,5381.316706151276,1.0
