lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
4120.793205567141,0.8814187082943976,4120.380882230885,4121.205570164276,1.0
4182.976246414881,0.8595572741760553,4182.557701092327,4183.394833620942,1.0
4222.8131874483815,0.8845805465335945,4222.390656072751,4223.235761106401,1.0
4229.315346228526,0.3506050555955804,4228.892164251988,4229.7385705525585,1.0
4232.546288343311,0.4410518100888263,4232.122783081239,4232.969835985228,1.0
4234.203812960276,0.8816187870231927,4233.780141847591,4234.627526469403,1.0
4257.404506013484,0.4314540772144048,4256.978513457648,4257.830541198066,1.0
4258.257188397583,0.6886823349449033,4257.831110523017,4258.683308909434,1.0
4258.259752047376,0.6674392467749316,4257.833673916292,4258.68587281577,1.0
4281.973816737979,0.7140058981591791,4281.545365796182,4282.402310554532,1.0
4293.272620328735,0.18130054942828844,4292.843038837511,4293.702244807847,1.0
4318.32407432436,0.1814295172775645,4317.891986204297,4318.7562056831475,1.0
4320.04966235234,0.2901581412731291,4319.617401571293,4320.481966389391,1.0
4332.2514312628855,0.7907025141840731,4331.817949582411,4332.684956321538,1.0
4332.252501100656,0.7807248892550853,4331.819019313134,4332.686026266367,1.0
4345.494067272284,0.3924848856661163,4345.059260544036,4345.928917511306,1.0
4347.846330455655,0.7546068970518631,4347.411288361798,4348.28141608384,1.0
4349.550093744786,0.6677751396705514,4349.11488117371,4349.985349867248,1.0
4349.551863137361,0.6628302578057802,4349.116650389241,4349.987119436884,1.0
4366.5115193386855,0.6686363508007499,4366.074609620668,4366.948472777922,1.0
4372.406270312721,0.2193099573008086,4371.968770770543,4372.843813635141,1.0
4389.025916423461,0.8208915908946932,4388.586753932528,4389.4651228610455,1.0
4389.026573218044,0.8089832709795157,4388.587410661393,4389.465779721353,1.0
4389.863870753001,0.9111068693841028,4389.424624417015,4390.3031610440285,1.0
4389.864910731043,0.8944495729064292,4389.425664290998,4390.3042011261405,1.0
4407.86852842697,0.5854674326150184,4407.4274805590585,4408.309620430202,1.0
4410.137801538327,0.4504713015845841,4409.696526608727,4410.579120625968,1.0
4414.209915864218,0.2815214732710708,4413.768233482053,4414.651642445198,1.0
4414.471869772745,0.2930927036626676,4414.030161179677,4414.913622567251,1.0
4431.654244206282,0.22122538193054805,4431.210816358304,4432.097716427742,1.0
4440.257758021355,0.32548251217697644,4439.813469312532,4440.702091189805,1.0
4440.506003212318,0.6982861269261199,4440.061689664277,4440.9503612224735,1.0
4441.4466887285635,0.47632545078825506,4441.002281056267,4441.8911408723925,1.0
4441.8913177010745,0.3634790780107392,4441.446865539552,4442.335814338582,1.0
4443.4558854168545,0.7910504861947911,4443.011276705914,4443.900538619447,1.0
4446.096948009085,0.7483230883952213,4445.652075035492,4446.541865500773,1.0
4446.097112947679,0.6998628181679273,4445.652239957582,4446.542030455873,1.0
4449.769492643867,0.8239561357120737,4449.324252198338,4450.214777644263,1.0
4449.770369756408,0.7906897472416801,4449.325129223116,4450.215654844577,1.0
