Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s],Score_1 [nondim],e_Score_1 [nondim],Score_2 [nondim],e_Score_2 [nondim]
58710.45998769054,-59.12065331726549,1.0888266909881552,-0.421007016640047,NaN,-0.12644732614337997,NaN,-0.03770436093981003,NaN
58710.4612782786,-58.3982753335026,1.0705961369609034,-0.4513635944894361,NaN,-0.13256304118163778,NaN,-0.03325033287916841,NaN
58710.46255582206,-59.888214761935984,1.0717475963780638,-0.4188429312719748,NaN,-0.12730811727399063,NaN,-0.04112054791877128,NaN
58711.4908574791,-55.26197196543292,1.8520902195643913,-0.48426725750320543,NaN,-0.14487307348206127,NaN,-0.041997861616807776,NaN
58711.49342032066,-59.26132997789317,1.8547330156915687,-0.5027327331078695,NaN,-0.14880075657153405,NaN,-0.039784556824968426,NaN
58712.49010178172,-58.5266924811818,1.4378745296713673,-0.45432374693545086,NaN,-0.1403014184423274,NaN,-0.04988199336763489,NaN
58712.49136958353,-61.53438205235085,1.5454989641699506,-0.4142870948267259,NaN,-0.13677823366281622,NaN,-0.06661119215983144,NaN
58712.49267204043,-57.00007958571998,1.5034535523920614,-0.4503378501725237,NaN,-0.14217303108436818,NaN,-0.056857877822966064,NaN
58714.49469429632,-58.053894144662486,1.0515398532336746,-0.4409182759637815,NaN,-0.13682147500496544,NaN,-0.049986878594795586,NaN
58714.49597354107,-56.345047697016106,1.0565069515829948,-0.41822834648137786,NaN,-0.13206033610104773,NaN,-0.05286209882231296,NaN
58714.49725270431,-56.995862966271275,1.0359400442895637,-0.46707994476044234,NaN,-0.14248521088616445,NaN,-0.04708775386961493,NaN
58715.49350640251,-57.66111949542159,1.289498687711081,-0.46763697466689536,NaN,-0.14427954144602034,NaN,-0.051025457644566896,NaN
58715.49480040992,-57.162222426724234,1.260998165164634,-0.4639272505912331,NaN,-0.14337870514330145,NaN,-0.05120305285031116,NaN
58715.49609426875,-57.25501393934692,1.238573691415882,-0.4713321169395357,NaN,-0.14457753470040147,NaN,-0.049416516766591555,NaN
58715.49737973299,-59.472274296887825,1.3176186783253263,-0.4785894509703894,NaN,-0.14590097782191336,NaN,-0.048020415487257294,NaN
58715.49867192974,-57.547997878234085,1.2743651815320067,-0.4420747516880894,NaN,-0.1406576824184739,NaN,-0.05842716029914785,NaN
58716.45119583246,-54.99079516713444,1.186645004689306,-0.40508736222764696,NaN,-0.12751057891579748,NaN,-0.050244513917861,NaN
58716.45324183514,-58.17987481679388,1.0847941021393952,-0.40400455198066965,NaN,-0.12476169041015436,NaN,-0.04435613030983159,NaN
58716.45451979955,-59.45140703652527,1.0778435200038325,-0.40021729862312583,NaN,-0.1246487337613885,NaN,-0.04646507667443077,NaN
58716.45579400814,-59.72218480805659,1.1446774612851063,-0.4139247401545205,NaN,-0.12837449358004524,NaN,-0.04675789987251189,NaN
58719.45603961962,-59.66375332787802,1.3699630060186632,-0.4518253577720017,NaN,-0.13856984687421708,NaN,-0.047313664487928536,NaN
58719.45734305248,-58.773094437260966,1.417140057604689,-0.42519773591077126,NaN,-0.13801713322509693,NaN,-0.06271834871065315,NaN
58719.45865908321,-61.07044849324865,1.2984316026252365,-0.45290068939527117,NaN,-0.14290228956143283,NaN,-0.0569906781553218,NaN
58719.46089309821,-59.507386759522106,1.4860830763308928,-0.458725756184009,NaN,-0.1429163008454304,NaN,-0.05336530385426582,NaN
