Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s],Score_1 [nondim],e_Score_1 [nondim],Score_2 [nondim],e_Score_2 [nondim]
58710.45998769054,-1.5775613764490117,0.21663000711025923,-16661.954180262495,0.21663000711025923,-0.10798461393660583,NaN,0.02293940377120972,NaN
58710.4612782786,-0.5665253779297927,0.21355106880309985,-16663.83568760315,0.21355106880309985,0.07636375651708974,NaN,-0.0022034022698859124,NaN
58710.46255582206,-1.5995400163337763,0.21427898743399956,-16663.57932893973,0.21427898743399956,0.025357452951619956,NaN,0.03456682631768354,NaN
58711.4908574791,2.187717148772208,0.34772437588671984,-16663.9875178611,0.34772437588671984,0.023181750231188104,NaN,0.08342680969243454,NaN
58711.49342032066,-1.477483154671063,0.348202219098722,-16662.762024784584,0.348202219098722,-0.059089829693391986,NaN,0.05111528618842222,NaN
58712.49010178172,-0.6198190098148189,0.277477233308386,-16663.56438416335,0.277477233308386,-0.012970085965166437,NaN,0.08224651638041063,NaN
58712.49136958353,-0.45064203038054984,0.2963791462578805,-16664.773864709725,0.2963791462578805,0.08354852209270859,NaN,0.0944010686591899,NaN
58712.49267204043,-1.431039846767817,0.28917769992404374,-16661.907478381647,0.28917769992404374,-0.1129803556306186,NaN,0.024104362751513425,NaN
58714.49469429632,-0.5851449244619289,0.20929161606360114,-16662.867343906615,0.20929161606360114,-0.12424735873453532,NaN,0.14692195624747167,NaN
58714.49597354107,1.7874413961799291,0.21009284012696958,-16664.477163507177,0.21009284012696958,-0.024156248702948826,NaN,0.19964705544789446,NaN
58714.49725270431,2.1874410460950457,0.20626906708481108,-16664.87677438059,0.20626906708481108,-0.017124498653841806,NaN,0.2356799179526338,NaN
58715.49350640251,-0.4476596666027035,0.2516333795542879,-16663.053499314694,0.2516333795542879,0.018013311929865095,NaN,-0.015305468295800699,NaN
58715.49480040992,-0.8714610579372675,0.24656076021071002,-16662.451198320083,0.24656076021071002,-0.01819233157044469,NaN,-0.03663265718374063,NaN
58715.49609426875,-0.537329701201088,0.2427746291272879,-16663.174498229673,0.2427746291272879,0.0042288877227897315,NaN,0.016101723125226376,NaN
58715.49737973299,-0.6599008320990833,0.2568451019526629,-16663.267581453827,0.2568451019526629,0.02188150541532466,NaN,0.003868076212501651,NaN
58715.49867192974,-0.7135076736849442,0.24901309997219706,-16662.645749474144,0.24901309997219706,-0.043806319472139754,NaN,0.018310252159217385,NaN
58716.45119583246,1.9622015143104363,0.23620411774273478,-16663.065761605772,0.23620411774273478,-0.007282437786385765,NaN,0.018659130459790636,NaN
58716.45324183514,0.1438106070199865,0.21682404554355914,-16663.517146908856,0.21682404554355914,-0.004071947708295304,NaN,0.06545571258456577,NaN
58716.45451979955,0.20189956072499626,0.21564593672441382,-16663.87463319456,0.21564593672441382,0.003209900000862742,NaN,0.09641335426757501,NaN
58716.45579400814,-1.7056078420318954,0.22841818868915653,-16662.925990517502,0.22841818868915653,-0.07284361804349108,NaN,0.08733114529298552,NaN
58719.45603961962,-0.101119142051175,0.26543208970967974,-16666.311890304438,0.26543208970967974,0.21782349131852755,NaN,0.09499644674994022,NaN
58719.45734305248,-0.818474540621537,0.27363986585676514,-16663.80668576,0.27363986585676514,-0.02974302999456907,NaN,0.13119002094449483,NaN
58719.45865908321,-2.4307364844389667,0.2524061588879476,-16664.29377986216,0.2524061588879476,-0.0041724583783909475,NaN,0.15321593255944613,NaN
